event_pair_key,system_id,split,event_type,event_family,family_aczz,is_near_dopant,is_far_from_dopant,is_escaping,is_non_escaping,vac_site_144,neighbor_site_144,site_a,site_b,foundation_endpoint_label,finetuned_endpoint_label,transition_label,endpoint_is_disagree,foundation_ready_for_neb,finetuned_ready_for_neb,both_models_ready_for_neb,foundation_neb_present,finetuned_neb_present,foundation_neb_status,finetuned_neb_status,foundation_usable_complete,finetuned_usable_complete,both_models_usable_complete,foundation_status_is_usable,finetuned_status_is_usable,both_models_status_usable,both_models_log_neb_parseable,foundation_forward_barrier_eV,finetuned_forward_barrier_eV,foundation_reverse_barrier_eV,finetuned_reverse_barrier_eV,forward_barrier_delta_ft_minus_foundation_eV,reverse_barrier_delta_ft_minus_foundation_eV,abs_forward_barrier_delta_eV,abs_reverse_barrier_delta_eV,strict_forward_barrier_delta_ft_minus_foundation_eV,strict_reverse_barrier_delta_ft_minus_foundation_eV,strict_abs_forward_barrier_delta_eV,strict_abs_reverse_barrier_delta_eV,foundation_path_shape,finetuned_path_shape,foundation_final_step,finetuned_final_step,foundation_final_max_replica_force_eVA,finetuned_final_max_replica_force_eVA,foundation_notes,finetuned_notes
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39__49__85,P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,49,85,49,85,same_basin,same_basin,same_basin -> same_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39__50__14,P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,test,AC_hop,far_AC,AC,False,True,False,True,50,14,50,14,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,failed,True,True,True,True,False,False,True,0.26634326,21.163017,0.29253199,21.086252,20.89667374,20.79372001,20.89667374,20.79372001,,,,,interior_saddle,interior_saddle,241,712,0.018242331,120.05058,,final_force_above_ftol; barrier_extremely_large; segfault
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39__50__80,P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,test,AC_hop,far_AC,AC,False,True,False,True,50,80,50,80,different_basin,same_basin,different_basin -> same_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39__50__86,P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,50,86,50,86,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,failed,True,True,True,True,False,False,True,0.42357912,46.411951,0.0046372716,45.974253,45.98837188,45.9696157284,45.98837188,45.9696157284,,,,,interior_saddle,interior_saddle,270,1611,0.019656159,150.25882,,final_force_above_ftol; barrier_extremely_large; segfault
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39__63__27,P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,test,AC_hop,far_AC,AC,False,True,False,True,63,27,63,27,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39__63__93,P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,test,AC_hop,far_AC,AC,False,True,False,True,63,93,63,93,same_basin,other_basin,same_basin -> other_basin,True,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39__99__69,P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,test,AC_hop,far_AC,AC,False,True,False,True,99,69,99,69,same_basin,same_basin,same_basin -> same_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39__99__134,P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,test,AC_hop,far_AC,AC,False,True,False,True,99,134,99,134,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39__119__11,P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,test,nearN_hop,near_dopant,non_ACZZ,True,False,False,True,119,11,119,11,other_basin,different_basin,other_basin -> different_basin,True,False,True,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39__119__17,P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,119,17,119,17,different_basin,same_basin,different_basin -> same_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39__119__78,P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,test,AC_hop,far_AC,AC,False,True,False,True,119,78,119,78,other_basin,different_basin,other_basin -> different_basin,True,False,True,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39__132__24,P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,test,nearN_hop,near_dopant,non_ACZZ,True,False,False,True,132,24,132,24,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.41264954,0.42966704,0.55639288,0.38278983,0.01701750000000002,-0.17360304999999998,0.01701750000000002,0.17360304999999998,0.01701750000000002,-0.17360304999999998,0.01701750000000002,0.17360304999999998,interior_saddle,interior_saddle,290,385,0.019728155,0.019779298,,
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39__132__30,P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,132,30,132,30,same_basin,other_basin,same_basin -> other_basin,True,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39__132__97,P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,test,AC_hop,far_AC,AC,False,True,False,True,132,97,132,97,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,suspicious,failed,True,True,True,False,False,False,True,0.44102625,496.07345,0.25369244,496.01541,495.63242375,495.76171755999997,495.63242375,495.76171755999997,,,,,interior_saddle,interior_saddle,3071,1768,0.34496945,910.93421,final_force_above_ftol,final_force_above_ftol; barrier_extremely_large; segfault
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__29__65,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,AC_hop,far_AC,AC,False,True,False,True,29,65,29,65,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.065503351,0.076192857,0.070637936,0.28499064,0.010689506000000001,0.214352704,0.010689506000000001,0.214352704,0.010689506000000001,0.214352704,0.010689506000000001,0.214352704,interior_saddle,interior_saddle,50,102,0.017627491,0.019905543,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__29__131,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,29,131,29,131,different_basin,same_basin,different_basin -> same_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__29__137,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,AC_hop,far_AC,AC,False,True,False,True,29,137,29,137,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,suspicious,True,True,True,True,False,False,True,0.43737709,0.39944866,0.0,0.0,-0.03792843000000001,0.0,0.03792843000000001,0.0,,,,,final_endpoint_highest,final_endpoint_highest,118,6000,0.019875362,0.077621671,,final_force_above_ftol
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__45__9,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,AC_hop,far_AC,AC,False,True,False,True,45,9,45,9,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.016277687,0.011717621,0.47718413,0.37726971,-0.004560066,-0.09991442,0.004560066,0.09991442,-0.004560066,-0.09991442,0.004560066,0.09991442,interior_saddle,interior_saddle,1146,2851,0.019911065,0.019951817,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__45__75,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,AC_hop,far_AC,AC,False,True,False,True,45,75,45,75,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__45__81,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,nearN_hop,near_dopant,non_ACZZ,True,False,False,True,45,81,45,81,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__52__16,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,trap_escape,escape,non_ACZZ,True,False,True,False,52,16,52,16,other_basin,other_basin,other_basin -> other_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__52__88,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,trap_escape,escape,non_ACZZ,True,False,True,False,52,88,52,88,same_basin,same_basin,same_basin -> same_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__72__36,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,72,36,72,36,other_basin,other_basin,other_basin -> other_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__72__42,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,AC_hop,far_AC,AC,False,True,False,True,72,42,72,42,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.11510311,0.0,0.23236492,0.036696401,-0.11510311,-0.195668519,0.11510311,0.195668519,-0.11510311,-0.195668519,0.11510311,0.195668519,interior_saddle,initial_endpoint_highest,2036,1473,0.017227496,0.019983993,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__72__113,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,AC_hop,far_AC,AC,False,True,False,True,72,113,72,113,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,suspicious,usable,True,True,True,False,True,False,True,0.1439532,0.051200859,0.17071786,0.0,-0.092752341,-0.17071786,0.092752341,0.17071786,,,,,interior_saddle,final_endpoint_highest,3491,1928,0.32976108,0.019970732,final_force_above_ftol,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__89__53,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,89,53,89,53,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__89__59,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,AC_hop,far_AC,AC,False,True,False,True,89,59,89,59,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__89__124,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,AC_hop,far_AC,AC,False,True,False,True,89,124,89,124,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__97__61,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,97,61,97,61,other_basin,different_basin,other_basin -> different_basin,True,False,True,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__97__67,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,AC_hop,far_AC,AC,False,True,False,True,97,67,97,67,other_basin,different_basin,other_basin -> different_basin,True,False,True,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__97__132,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,AC_hop,far_AC,AC,False,True,False,True,97,132,97,132,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.17975165,0.17605142,0.26527967,0.26058074,-0.0037002300000000266,-0.004698930000000046,0.0037002300000000266,0.004698930000000046,-0.0037002300000000266,-0.004698930000000046,0.0037002300000000266,0.004698930000000046,interior_saddle,interior_saddle,1231,2180,0.019374179,0.019352467,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__111__3,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,AC_hop,far_AC,AC,False,True,False,True,111,3,111,3,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__111__9,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,111,9,111,9,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,failed,True,True,True,True,False,False,True,0.47861094,94.221475,0.60334719,93.864513,93.74286406,93.26116581000001,93.74286406,93.26116581000001,,,,,interior_saddle,interior_saddle,964,1007,0.019495029,612.22795,,final_force_above_ftol; barrier_extremely_large; segfault
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__111__76,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,AC_hop,far_AC,AC,False,True,False,True,111,76,111,76,other_basin,same_basin,other_basin -> same_basin,True,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__115__7,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,nearN_hop,near_dopant,non_ACZZ,True,False,False,True,115,7,115,7,different_basin,same_basin,different_basin -> same_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__115__80,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,trap_escape,escape,non_ACZZ,True,False,True,False,115,80,115,80,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.83620086,0.66118092,0.22068311,0.31476729,-0.1750199400000001,0.09408417999999999,0.1750199400000001,0.09408417999999999,-0.1750199400000001,0.09408417999999999,0.1750199400000001,0.09408417999999999,interior_saddle,interior_saddle,352,255,0.019917706,0.01630772,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__134__26,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,AC_hop,far_AC,AC,False,True,False,True,134,26,134,26,same_basin,other_basin,same_basin -> other_basin,True,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__134__32,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,134,32,134,32,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.17121755,0.42875771,0.16417096,0.39803251,0.25754016,0.23386155,0.25754016,0.23386155,0.25754016,0.23386155,0.25754016,0.23386155,interior_saddle,interior_saddle,2053,1764,0.019774307,0.019977264,,
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__134__99,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,test,AC_hop,far_AC,AC,False,True,False,True,134,99,134,99,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,suspicious,True,True,True,True,False,False,True,-0.04505149,0.454974,0.0084382162,0.50581752,0.50002549,0.4973793038,0.50002549,0.4973793038,,,,,interior_saddle,interior_saddle,3490,3215,0.019984805,0.17071704,,final_force_above_ftol
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__3__39,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,trap_escape,escape,non_ACZZ,True,False,True,False,3,39,3,39,same_basin,other_basin,same_basin -> other_basin,True,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__3__141,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,trap_escape,escape,non_ACZZ,True,False,True,False,3,141,3,141,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__22__58,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,AC_hop,far_AC,AC,False,True,False,True,22,58,22,58,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.33914527,0.20255233,0.21899643,0.21552543,-0.13659294,-0.003471000000000002,0.13659294,0.003471000000000002,-0.13659294,-0.003471000000000002,0.13659294,0.003471000000000002,interior_saddle,interior_saddle,528,2302,0.019645608,0.017362455,,
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__22__124,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,22,124,22,124,same_basin,other_basin,same_basin -> other_basin,True,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__22__130,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,AC_hop,far_AC,AC,False,True,False,True,22,130,22,130,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,suspicious,True,True,True,True,False,False,True,0.32924657,0.56816636,0.21365785,0.53467741,0.23891978999999997,0.32101956,0.23891978999999997,0.32101956,,,,,interior_saddle,interior_saddle,2383,6000,0.019991608,0.097209187,,final_force_above_ftol
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__48__12,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,AC_hop,far_AC,AC,False,True,False,True,48,12,48,12,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.34385402,0.39261884,0.25876288,0.95501427,0.04876482000000004,0.69625139,0.04876482000000004,0.69625139,0.04876482000000004,0.69625139,0.04876482000000004,0.69625139,interior_saddle,interior_saddle,216,1775,0.019586227,0.018602636,,
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__48__78,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,AC_hop,far_AC,AC,False,True,False,True,48,78,48,78,other_basin,other_basin,other_basin -> other_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__48__84,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,nearN_hop,near_dopant,non_ACZZ,True,False,False,True,48,84,48,84,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,failed,True,True,True,True,False,False,True,0.69460389,14.048515,0.63544381,-3.0780399,13.35391111,-3.7134837099999998,13.35391111,3.7134837099999998,,,,,interior_saddle,interior_saddle,608,1713,0.018257551,841.20256,,final_force_above_ftol; barrier_extremely_large; segfault
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__80__44,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,80,44,80,44,other_basin,different_basin,other_basin -> different_basin,True,False,True,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__80__50,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,nearN_hop,near_dopant,non_ACZZ,True,False,False,True,80,50,80,50,other_basin,other_basin,other_basin -> other_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__80__115,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,AC_hop,far_AC,AC,False,True,False,True,80,115,80,115,different_basin,same_basin,different_basin -> same_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__96__60,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,96,60,96,60,same_basin,different_basin,same_basin -> different_basin,True,False,True,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__96__66,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,AC_hop,far_AC,AC,False,True,False,True,96,66,96,66,same_basin,same_basin,same_basin -> same_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__96__137,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,AC_hop,far_AC,AC,False,True,False,True,96,137,96,137,different_basin,same_basin,different_basin -> same_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__102__36,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,AC_hop,far_AC,AC,False,True,False,True,102,36,102,36,same_basin,same_basin,same_basin -> same_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__102__66,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,102,66,102,66,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__102__143,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,AC_hop,far_AC,AC,False,True,False,True,102,143,102,143,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,1.1802818,0.94200715,0.014800918,0.445705,-0.23827464999999992,0.430904082,0.23827464999999992,0.430904082,-0.23827464999999992,0.430904082,0.23827464999999992,0.430904082,interior_saddle,interior_saddle,1863,1741,0.019984954,0.01960576,,
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__103__37,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,AC_hop,far_AC,AC,False,True,False,True,103,37,103,37,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,failed,True,True,True,True,False,False,True,0.0,70.38096,0.020679824,70.429275,70.38096,70.408595176,70.38096,70.408595176,,,,,initial_endpoint_highest,interior_saddle,1958,919,0.019960059,184.94155,,final_force_above_ftol; barrier_extremely_large; segfault
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__103__67,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,103,67,103,67,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__103__138,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,AC_hop,far_AC,AC,False,True,False,True,103,138,103,138,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.0,0.011275826,0.60761783,0.50266331,0.011275826,-0.10495452000000005,0.011275826,0.10495452000000005,0.011275826,-0.10495452000000005,0.011275826,0.10495452000000005,initial_endpoint_highest,interior_saddle,410,2010,0.019859447,0.01996123,,
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__106__40,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,AC_hop,far_AC,AC,False,True,False,True,106,40,106,40,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__106__70,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,106,70,106,70,other_basin,other_basin,other_basin -> other_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__106__141,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,AC_hop,far_AC,AC,False,True,False,True,106,141,106,141,ambiguous,different_basin,ambiguous -> different_basin,True,False,True,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__110__2,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,test,AC_hop,far_AC,AC,False,True,False,True,110,2,110,2,other_basin,different_basin,other_basin -> different_basin,True,False,True,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
